model,accuracy,precision,recall,mrr,hit,ndcg,time_ms
baseline,0.45,0.07549999999999998,0.755,0.5556289682539682,0.755,0.6040082632417098,60.470842123031616
random,0.57,0.08199999999999999,0.82,0.6463095238095238,0.82,0.6876201007707695,48.57121706008911
hard,0.71,0.09399999999999999,0.94,0.7994761904761905,0.94,0.834497842438131,47.401219606399536
semi,0.7,0.0955,0.955,0.7885337301587301,0.955,0.8291885748845128,52.641358375549316
all,0.83,0.09649999999999999,0.965,0.8878333333333334,0.965,0.9073946561779078,46.854097843170166
